run_id,timestamp,epoch,train_loss,supcon_loss,ce_loss,mask_loss,val_inst_top1,val_pos_sim,val_neg_sim,val_decoder_wer,val_decoder_bleu,val_decoder_exact,val_retrieval_top1,val_retrieval_mrr
20251215-135645,2025-12-15T14:14:29,24,3.25011962897157,2.0370896474955833,4.453377537531395,0.02443019065954914,0.818671464920044,0.9620522856712341,0.9110822081565857,0.8657142857142857,0.00035651301714217823,0.0,0.029054054054054056,0.08340857458899291
20251215-135645,2025-12-15T14:15:12,25,3.230194967087001,2.0200037335696286,4.430663714670155,0.024306211314380984,0.8001196980476379,0.9595215916633606,0.9111897945404053,0.9214285714285715,1.189625594699195e-06,0.0,,
20251215-135645,2025-12-15T14:15:53,26,3.198099515209459,1.9991890314507157,4.387279340665635,0.024326625088714575,0.818073034286499,0.9618737101554871,0.9129821062088013,1.0833333333333335,2.502322688653542e-06,0.0,,
20251215-135645,2025-12-15T14:16:35,27,3.19887209918401,2.0085931934722483,4.379205994410057,0.024862497458106852,0.8204667568206787,0.9620898365974426,0.9129511117935181,1.0477777777777777,2.831659773550115e-08,0.0,,
20251215-135645,2025-12-15T14:17:17,28,3.158383122862202,1.9696107506752014,4.337236063121116,0.024798556894370136,0.8150807619094849,0.9626593589782715,0.9122292995452881,1.0414285714285714,1.1818926380291752e-06,0.0,,
20251215-135645,2025-12-15T14:17:59,29,3.1431955670657223,1.9363265519272792,4.340047418254695,0.02504287777494078,0.8312388062477112,0.9630053043365479,0.9104006886482239,0.9492063492063492,1.1798720499988798e-06,0.0,0.032432432432432434,0.09269172586123009
20251215-135645,2025-12-15T14:18:41,30,3.1090320920291012,1.9264213238676933,4.28171083698534,0.024830059135613376,0.8300418853759766,0.9616042971611023,0.9097045063972473,1.1155555555555554,1.0425717871898832e-06,0.0,,
20251215-135645,2025-12-15T14:19:22,31,3.083470184509068,1.897421753569825,4.259463310241699,0.025138212010672647,0.836624801158905,0.9630851745605469,0.9130115509033203,0.9305555555555556,2.224073128679248e-06,0.0,,
20251215-135645,2025-12-15T14:20:04,32,3.0817997912838035,1.8962011933326721,4.257297311743645,0.02525264455949607,0.8061041235923767,0.9603976607322693,0.9102089405059814,1.0216666666666667,1.1970687827118253e-06,0.0,,
20251215-135645,2025-12-15T14:20:45,33,3.0758548419769496,1.8961291411151624,4.2455212955605495,0.02514810098513757,0.8210652470588684,0.9624472856521606,0.9138970375061035,1.1314285714285712,1.1796684174387084e-06,0.0,,
20251215-135645,2025-12-15T14:21:28,34,3.055974780696712,1.8746163804237157,4.227212175931016,0.0253025726734163,0.8204667568206787,0.962489128112793,0.9138374924659729,1.1194444444444445,1.1854499076337191e-06,0.0,0.03310810810810811,0.10011211324014048
20251215-135645,2025-12-15T14:22:10,35,3.0517327671181667,1.8825966552512285,4.210608614634161,0.025650690768985716,0.8210652470588684,0.9598769545555115,0.9093961119651794,1.1333333333333333,1.1579420128052347e-06,0.0,,
20251215-135645,2025-12-15T14:22:52,36,3.0252931673232824,1.8693417710800693,4.170919615928441,0.02581236627565263,0.809694766998291,0.9610989689826965,0.9109122157096863,1.0755555555555556,1.0482149035333186e-06,0.0,,
20251215-135645,2025-12-15T14:23:33,37,3.011172706133699,1.846479062348196,4.165557978904411,0.02577100809000126,0.8162776827812195,0.9626739621162415,0.9105147123336792,1.0369047619047618,8.211305961447919e-07,0.0,,
20251215-135645,2025-12-15T14:24:15,38,2.9999953541037154,1.82818030004632,4.161591154255279,0.025548168662170023,0.8067025542259216,0.9619995951652527,0.9099587798118591,0.9633333333333333,2.1942361103632044e-06,0.0,,
20251215-135645,2025-12-15T14:24:57,39,2.9730072037814415,1.8068438997007397,4.1289258280845536,0.025611703539241668,0.8108916878700256,0.9650181531906128,0.9134721159934998,0.9396825396825397,0.00025508670007930997,0.0,0.03648648648648649,0.10147386130201738
20251215-135645,2025-12-15T14:25:39,40,2.9759889204208165,1.8098429833372978,4.131864591820599,0.025675754522113767,0.8216636776924133,0.9622246026992798,0.9110054969787598,1.0285714285714285,1.6728193004321964e-08,0.0,,
20251215-135645,2025-12-15T14:26:20,41,2.9597639694605786,1.800436603696379,4.108806330863744,0.02571249297781758,0.8210652470588684,0.9624227285385132,0.9095184206962585,0.986111111111111,2.910210739995313e-08,0.0,,
20251215-135645,2025-12-15T14:27:02,42,2.9403082801871103,1.7774663445067733,4.092838973215182,0.02577813633092462,0.8228605389595032,0.9621837735176086,0.9087544679641724,1.0099206349206349,8.183756573296916e-07,0.0,,
20251215-135645,2025-12-15T14:27:44,43,2.9199852567829496,1.7659301169931072,4.063908611258415,0.025329440372855696,0.8264512419700623,0.9626612663269043,0.9105503559112549,1.3777777777777778,1.0140581707922394e-08,0.0,,
20251215-135645,2025-12-15T14:28:27,44,2.917177783299799,1.7736335127321008,4.050322944170808,0.02599777240459233,0.8246558904647827,0.9642840027809143,0.9114160537719727,1.349920634920635,8.64553340783607e-09,0.0,0.04121621621621622,0.11091356868675285
20251215-135645,2025-12-15T14:29:08,45,2.8929237649865347,1.7385973587428054,4.036948669446658,0.025753753298051553,0.8102932572364807,0.9613836407661438,0.911263108253479,1.1263492063492062,2.069526788326371e-08,0.0,,
20251215-135645,2025-12-15T14:29:50,46,2.9005952861211073,1.7525059744103315,4.038219767074063,0.02616204848283366,0.8144823312759399,0.9615458846092224,0.9104509353637695,1.17,0.00024394025181946879,0.0,,
20251215-135645,2025-12-15T14:30:31,47,2.8844017312951284,1.7504977632875311,4.007825779588255,0.026199737397877322,0.813883900642395,0.959642767906189,0.9062507152557373,1.2844444444444443,1.3883675289296582e-08,0.0,,
20251215-135645,2025-12-15T14:31:13,48,2.8926880947531086,1.759008728478053,4.015960005864705,0.026018638125531478,0.8354278802871704,0.9651777744293213,0.9123691320419312,1.5166666666666666,8.277837635148968e-09,0.0,,
20251215-135645,2025-12-15T14:31:56,49,2.8547713821881437,1.710710247902021,3.9884378469153625,0.025986635623729392,0.8318372368812561,0.9597501754760742,0.907085120677948,1.1035714285714284,2.1209933583535418e-08,0.0,0.04256756756756757,0.1195408924356263
20251215-135645,2025-12-15T14:32:37,50,2.865055549634646,1.71998569736742,3.999792463158908,0.025832350544427354,0.8264512419700623,0.9628456234931946,0.9107014536857605,1.2342857142857144,1.1851935566415934e-06,0.0,,
20251215-135645,2025-12-15T14:33:19,51,2.8461877417890995,1.7005863597948256,3.9814472378116763,0.025854847483234862,0.8234590291976929,0.9625177383422852,0.9097039699554443,1.0119047619047619,0.0002757013032837073,0.0,,
